dataset,sample_index,is_warmup,num_input_tokens,baseline_tpot_ms,baseline_tps,dflash_tpot_ms,dflash_tps,tau,num_drafts
gsm8k,0,True,66,67.9,14.7,82.79,12.1,8.12,8
gsm8k,1,False,132,10.69,93.5,7.82,127.9,4.24,17
math500,0,True,259,25.56,39.1,26.65,37.5,4.27,60
math500,1,False,74,10.75,93.0,2.04,490.3,9.31,29
math500,2,False,61,10.73,93.2,2.2,454.2,7.37,35
math500,3,False,71,10.85,92.2,1.68,594.0,9.52,27
math500,4,False,138,10.64,94.0,2.07,483.5,7.85,33
math500,5,False,97,10.71,93.3,2.37,422.8,6.84,38
math500,6,False,64,10.65,93.9,1.53,655.2,10.5,14
math500,7,False,100,10.81,92.5,1.29,777.5,12.95,20
aime24,0,True,128,25.78,38.8,26.4,37.9,4.34,59
aime24,1,False,80,10.59,94.5,3.38,296.2,5.76,46
aime24,2,False,77,10.76,93.0,1.65,604.7,9.85,26
aime24,3,False,89,10.79,92.7,3.34,299.6,4.96,52
aime24,4,False,171,10.66,93.8,1.93,517.7,8.74,31
aime24,5,False,103,10.61,94.3,2.68,373.0,5.95,43
aime24,6,False,179,10.58,94.5,1.91,522.2,8.97,30
aime24,7,False,206,10.78,92.7,4.14,241.4,4.15,62
aime25,0,True,108,25.52,39.2,24.95,40.1,6.45,40
aime25,1,False,60,10.76,93.0,2.07,482.0,8.8,30
aime25,2,False,140,10.96,91.3,2.26,442.1,7.76,33
aime25,3,False,83,10.63,94.1,3.5,285.8,4.73,55
aime25,4,False,94,10.7,93.5,2.76,362.1,5.95,44
aime25,5,False,319,10.82,92.4,3.7,270.0,4.34,59
aime25,6,False,108,10.69,93.6,1.83,546.0,8.83,29
aime25,7,False,118,10.66,93.8,1.87,535.7,8.7,30
