dataset,sample_index,is_warmup,num_input_tokens,baseline_tpot_ms,baseline_tps,dflash_tpot_ms,dflash_tps,tau,num_drafts
gsm8k,0,True,66,186.85,5.4,256.58,3.9,8.12,8
gsm8k,1,False,132,6.26,159.7,6.11,163.8,4.25,16
math500,0,True,259,22.57,44.3,27.32,36.6,4.45,58
math500,1,False,74,6.44,155.4,1.58,634.8,8.47,32
math500,2,False,61,6.46,154.7,1.37,728.4,8.32,31
math500,3,False,71,6.49,154.0,1.14,876.9,9.85,26
math500,4,False,138,6.27,159.6,1.51,663.2,7.37,35
math500,5,False,97,6.29,159.0,1.58,633.0,7.16,37
math500,6,False,64,6.27,159.4,1.02,978.2,10.64,14
math500,7,False,100,6.4,156.2,0.86,1162.4,12.95,20
aime24,0,True,128,21.92,45.6,26.38,37.9,4.59,56
aime24,1,False,80,6.35,157.5,2.29,436.8,5.63,46
aime24,2,False,77,6.33,157.9,1.13,886.7,9.85,26
aime24,3,False,89,6.33,157.9,2.04,489.3,5.54,48
aime24,4,False,171,6.33,157.9,1.32,758.0,8.71,31
aime24,5,False,103,6.3,158.6,1.83,545.6,6.1,42
aime24,6,False,179,6.28,159.2,1.3,767.8,8.68,31
aime24,7,False,206,6.26,159.7,2.47,404.0,4.39,59
aime25,0,True,108,22.54,44.4,26.84,37.3,6.4,40
aime25,1,False,60,6.54,153.0,1.64,608.7,8.8,30
aime25,2,False,140,6.36,157.2,1.53,653.5,7.39,36
aime25,3,False,83,6.36,157.3,2.83,353.4,3.97,65
aime25,4,False,94,6.28,159.3,1.89,529.0,5.95,44
aime25,5,False,319,6.36,157.2,2.76,361.9,4.02,64
aime25,6,False,108,6.41,155.9,1.22,820.5,9.14,28
aime25,7,False,118,6.32,158.3,1.28,778.8,8.7,30
