method,dataset,dataset_name,num_prompts,num_ok,num_error,total_elapsed_sec,total_output_tokens,time_per_output_token,tokens_per_second,speedup_vs_baseline
baseline,aime24,AIME24,6,6,0,8.88958419294795,768,0.011574979417900977,86.39324217315468,
dflash,aime24,AIME24,6,6,0,14.890812519064639,768,0.019389078800865416,51.57542605661935,0.5969844950748426
baseline,aime25,AIME25,6,6,0,8.951989379071165,768,0.01165623617066558,85.79098650357041,
dflash,aime25,AIME25,6,6,0,15.275788024009671,768,0.019890348989595925,50.27563872926873,0.5860247186594174
baseline,alpaca,Alpaca,6,6,0,8.847859936009627,768,0.011520650958345868,86.80065072847061,
dflash,alpaca,Alpaca,6,6,0,11.877005678019486,768,0.01546485114325454,64.66276272152675,0.7449571193170487
baseline,gsm8k,GSM8K,6,6,0,8.88549655501265,768,0.011569656972672723,86.43298607400186,
dflash,gsm8k,GSM8K,6,6,0,15.012188367079943,768,0.019547120269635343,51.15843081773064,0.5918854958213524
baseline,humaneval,Humaneval,6,6,0,8.886670395091642,768,0.011571185410275575,86.42156914294785,
dflash,humaneval,Humaneval,6,6,0,12.153600453108083,768,0.015825000589984484,63.19115088266676,0.7311965231520361
baseline,livecodebench,LiveCodeBench,6,6,0,9.133534074062482,768,0.011892622492268856,84.08574312773142,
dflash,livecodebench,LiveCodeBench,6,6,0,12.573963497939985,768,0.016372348304609357,61.07859308847388,0.7263846499601215
baseline,math500,Math500,6,6,0,8.910783013037872,768,0.011602582048226395,86.1877119975086,
dflash,math500,Math500,6,6,0,18.5280780128669,768,0.024125101579253776,41.450602672692725,0.4809340184583496
baseline,mbpp,MBPP,6,6,0,8.835605798987672,768,0.011504695050765198,86.92103489813823,
dflash,mbpp,MBPP,6,6,0,12.342197227058932,768,0.016070569306066318,62.22554913611679,0.7158859671774295
baseline,mt-bench,MT-Bench,6,6,0,8.840236661955714,768,0.011510724820254836,86.87550224815999,
dflash,mt-bench,MT-Bench,6,6,0,12.127393923990894,768,0.015790877505196477,63.327702951968256,0.7289477621789464
baseline,swe-bench,SWE-Bench,6,6,0,9.095018716936465,768,0.011842472287677689,84.44182732354953,
dflash,swe-bench,SWE-Bench,6,6,0,12.532805872091558,768,0.016318757645952548,61.279174658741525,0.7256969277079075
