method,dataset,dataset_name,num_prompts,num_ok,num_error,total_elapsed_sec,total_output_tokens,time_per_output_token,tokens_per_second,speedup_vs_baseline
baseline,aime24,AIME24,12,12,0,71.43149346904829,6144,0.011626219640144578,86.01248135267161,
dflash,aime24,AIME24,12,12,0,98.26741231093183,6144,0.015994044972482396,62.523270487265144,0.7269092753051138
baseline,aime25,AIME25,12,12,0,69.43907023011707,6003,0.011567394674349004,86.44989024343795,
dflash,aime25,AIME25,12,12,0,98.60868330183439,6003,0.016426567266672396,60.87699175158064,0.7041881901776221
baseline,alpaca,Alpaca,12,12,0,71.28177917096764,6144,0.011601852078608013,86.19313478783636,
dflash,alpaca,Alpaca,12,12,0,98.8505904476624,6144,0.016088963289007552,62.1544087109223,0.7211062558974658
baseline,gsm8k,GSM8K,12,12,0,71.20237042882945,6144,0.011588927478650627,86.28926204277502,
dflash,gsm8k,GSM8K,12,12,0,98.72700124396943,6144,0.016068847858718982,62.2322153269625,0.7212046302599384
baseline,math500,Math500,12,12,0,71.39036486006808,6144,0.011619525530610039,86.06203388990694,
dflash,math500,Math500,12,12,0,105.49994363507722,6144,0.017171214784355016,58.23699793861509,0.6766862843738223
